³¯Â¥,ÃøÁ¤ ½Ã°£,ÃøÁ¤ ½Ã°£,ÃøÁ¤ ½Ã°£...,,,,,,,,,,,,,
¹ö½º ¹øÈ£,°ª,°ª,°ª...,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
4¿ù 16ÀÏ,10:13,10:43,11:13,11:43,12:13,12:43,,13:43,14:13,1443,1513,1543,1613,1643,,
9,17,10,28,5,8,x,,41,10,20,39,6,13,33,,
7000,0 14,14 25,0 14,7 22,25 32,5 19,,11 22,7 16,18 29,3 24,18 35,7 18,8 27,,
1112,13 30,11 12,8 22,11 22,6 20,22 29,,12 29,0 9,18 29,15 22,16 33,0 13,7 20,,
5100,3 5,17 34,5 5,0 7,5 15,2 10,,10 27,3 18,12 24,12 18,15 17,10 32,33,,
M5107,7 7,7 8,2 8,8 9,9 15,6 13,,8 20,x,x,12 31,9,4 13,7 10,,
,,,,,,,,,,,,,,,,
4¿ù 17ÀÏ,10:15,10 45,11 15,11 45,12 15,12 45,13 15,13 45,14 15,14 45,15 15,15 47,16 14,,,
9,26,12 39,9,17,21,26,°ðµµÂø 33,1 41,12 27,°ðµµÂø 39,16 43,12,21,,,
7000,7 10,6 20,9 32,5 24,7 13,2 12,4 16,11 21,12 26,11 31,11 21,11 26,2 13,,,
1112,3 22,8 16,13 21,10 22,5 23,°ðµµÂø 13,1 8,5 8,°ðµµÂø 8,10 25,3 15,3 11,2 6,,,
5100,2 21,4 20,1 13,6 13,11 27,8 19,8 16,30 38,16 31,16 24,16 24,16,6 18,,,
5107,°ð 5,5 18,3 10,2 13,°ð 8,3 10,8 11,°ð 11,2 14,19 34,°ð 15,3 12,5 13,,,
,,,,,,,,,,,,,,,,
4¿ù 18ÀÏ,10:15,10:45,11:15,11:45,12:15,12:45,13:15,13:45,14:15,14:45,15:15,15:45,16:15,16:45,,
9,26,,,36,10,24,µµÂø¿¹Á¤Á¤º¸¾øÀ½,27,µµÂø¿¹Á¤Á¤º¸¾øÀ½,15,36,7,29,44,,
7000,3 3,,,15 35,3 19,16 27,17 33,4 11,15 23,12 22,21 29,20 34,5 24,12 27,,
1112,3 8,,,8 25,8 24,13 22,5 19,8 26,2 15,14 27,17 34,6 14,3 9,8 19,,
5100,2 11,,,1 7,2 4,°ðµµÂø 11,5 5,8 32,8 19,22 30,3 8,6 13,15 28,8 15,,
5107,10 15,,,°ðµµÂø 5,8 25,5 7,°ðµµÂø 11,°ðµµÂø 6,19 33,8 19,18 21,6 12,4 7,4 10,,
,,,,,,,,,,,,,,,,
4¿ù 19ÀÏ,10:15,10:45,11:15,11:45,12:22,12:45,13:15,13:46,14:15,14:45,15:16,15:51,16:15,16:45,,
9,20,21,21,24,14,24,25,,18 38,12,20 41,10,30,4 24,,
7000,3 13,6 13,3 27,2 14,13 23,2 12,18 33,6 16,2 16,°ð 2,14 24,11 36,18 30,3 15,,
1112,3 11,8 16,8 22,8 25,4 11,16 28,9 21,13 27,15 28,11 34,°ð 10,18 29,7 19,4 16,,
5100,7 9,7 17,6 18,6 14,9 21,9 24,8 13,°ð 11,8 21,11 17,12 22,8 14,9 20,3 6,,
5107,°ð 5,4 7,5 13,2 13,9 21,10 13,5 13,°ð 6,14 26,13 38,7 20,9 18,5 18,39 49,,
,,,,,,,,,,,,,,,,
4¿ù 22ÀÏ,10:15,10:45,11:15,11:45,12:15,12:45,13:15,13:45,14:15,14:45,15:15,15:45,16:15,16:45,,
9,27,16,10 33,26,15,9,,,,,10,22,36,19,,
7000,4 17,5 12,7 21,6 17,3 8,°ðµµÂø 16,,,,,8 19,3 7,°ðµµÂø 27,5 18,,
1112,15 28,8 17,°ðµµÂø 8,3 15,5 16,8 11,,,,,5 13,2 15,°ðµµÂø 19,°ðµµÂø 11,,
5100,2 12,4 18,°ðµµÂø 10,°ðµµÂø 12,9 14,4 17,,,,,°ðµµÂø 11,3 5,2 15,°ðµµÂø 13,,
5107,6 14,°ðµµÂø 9,8 13,°ðµµÂø 9,10 23,°ðµµÂø 9,,,,,°ðµµÂø 8,°ðµµÂø 11,4 10,3 11,,
,,,,,,,,,,,,,,,,
4¿ù 23ÀÏ,10:15,10:45,11:15,11:45,12:15,12:45,13:15,13:45,14:15,14:45,15:15,15:45,16:15,16:45,,
9,4 21,11,23,20,16,18,15,21.39,11,32,4 22,19,25,34,,
7000,10 23,8 19,7 18,2223,1 18,x,1330,15.31,3 13,17.26,1 17,3 14,8 26,1 25,,
1112,2935,2 4,1 9,12 26,15.27,7 20,8 17,7.34,5 28,11 14,1 17,8 17,2 13,2 18,,
5100,2 7,6 17,12 23,8 13,1 10,1 8,1 13,7 16,12 30,5 21,6 15,2 19,2 11,7 14,,
5107,2 5,3 14,1420,11 14,9 27,3 6,4 4,1 7,12 28,231,4 16,2 2,6 28,2 8,,
,,,,,,,,,,,,,,,,
4¿ù 24ÀÏ,10:15,10:45,11:15,11:45,12:15,12:45,13:15,13:45,14:15,14:45,15:15,15:45,16:15,16:45,,
9,20,17 36,4 37,8,11,18,,27,22,35,5 40,,6 ,28,,
7000,4  19,12 32,2 15,7 15,18 35,12 33,,12 32,3 16,12 26,12 30,,16 33,4 22,,
1112,8 19,23 24,4 12,1 12,4 20,9 17,,15 29,28 38,9 19,14 29,,1 9,3 11,,
5100,4 11,10 15,10 18,8 15,2 19,9 20,,5 23,11 28,13 25,4 16,,11 27,2 14,,
5107,8 17,9 9,9 21,6 19,14 23,9 12,,0 9,0 5,6 11,1 21,,14 30,2 3,,
,,,,,,,,,,,,,,,,
4¿ù 25ÀÏ,10:16,10:45,11:15,11:45,12:18,12:45,13:15,13:45,14:15,14:45,15:15,15:45,16:15,16:45,,
9,°ðµµÂø 16,16 26,1 41,12,19,21,27,°ðµµÂø 38,10 24,,µµÂø¿¹Á¤Á¤º¸¾øÀ½,21,,,,
7000,9 24,°ðµµÂø 9,3 22,14 34,9 15,24 31,4 28,20 28,1 10,,25 26,°ðµµÂø 7,,,,
1112,15 29,16 27,8 21,13 26,1 11,3 18,1 9,5 31,2 26,,2 15,°ðµµÂø 14,,,,
5100,5 15,4 6,2 7,7 21,°ðµµÂø 11,7 22,1 8,5 10,°ðµµÂø 21,,4 11,10 16,,,,
5107,4 7,2 13,°ðµµÂø 6,6 8,12 17,2 8,8 27,°ðµµÂø °ðµµÂø,19 22,,14 22,14 19,,,,
,,,,,,,,,,,,,,,,
4¿ù 26ÀÏ,10:15,10:45,11:15,11:50,12:15,12:45,13:17,13:45,14:15,14:45,15:15,15:45,16:15,16:45,,
9,18 39,13 31,39,7,19,21,20 ,27,25,38,3 39,9,11,30,,
7000,12 25,13 21,2 13,1 20,6 25,11 21,6 17,33 40,7 17,2 21,14 30,5 11,5 24,1 6,,
1112,18 25,2 16,5 26,1 11,3 19,8 15,6 15,17 32,3 12,9 35,15 18,3 23,10 16,°ð 9,,
5100,2 9,9 21,4 11,1 1,4 9,14 20,8 19,13 22,8 19,5 8,11 17,8 18,3 10,1 6,,
5107,°ð 8,5 22,16 24,3 13,°ð 19,5 12,3 12,14 16,17 33,5 20,6 34,3 5,°ð °ð,6 19,,
,,,,,,,,,,,,,,,,
4¿ù 29ÀÏ,10:15,10:45,11:15,11:45,12:15,12:45,13:15,13:45,14:15,14:45,15:15,15:45,16:15,16:45,,
9,23,19,,,8,17,19,16,4 21,18,°ðµµÂø,22,16,9,,
7000,7 16,5 9,,,3 7,°ðµµÂø 6,8 11,°ðµµÂø 9,6 10,7 15,8 11,°ðµµÂø 10,4 10,°ðµµÂø,,
1112,5 28,°ðµµÂø 8,,,8 11,7 13,°ðµµÂø 10,3 8,°ðµµÂø 16,4 13,3 9,4 11,°ðµµÂø 7,3 14,,
5100,4 6,6 10,,,°ðµµÂø 7,4 12,3 12,4 14,°ðµµÂø 7,°ðµµÂø 4,6 13,3 8,°ðµµÂø 12,4 7,,
5107,5 11,°ðµµÂø 9,,,°ðµµÂø 6,7 18,°ðµµÂø 5,6 11,5 12,°ðµµÂø 8,5 12,°ðµµÂø 14,5 9,°ðµµÂø 5,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
4¿ù 30ÀÏ,10:15,10:45,11:15,11:45,12:15,12:45,13:15,13:45,14:15,14:45,15:15,15:45,16:15,16:45,,
9,13,21,9,9,15,18,22,µµÂøÁ¤º¸x,16 35,10 35,5,18,18,19,,
7000,3 32,9 13,2 17,6 19,17 27,19 24,7 17,5 25,4 17,°ðµµÂø 18,1 28,1 15,11 25,11 23,,
1112,11 23,11 22,3 26,8 20,3 30,13 28,3 18,11 28,9 31,3 15,2 21,6 17,8 10,26 33,,
5100,7 18,11 20,7 13,7 13,11 16,7 20,4 16,4 12,11 23,3 14,2 20,16 22,1 16,1 7,,
5107,11 26,8 10,8 9,5 18,°ðµµÂø 10,8 23,14 15,8 14,5 19,2 17,2 10,2 7,1 16,5 5,,
,,,,,,,,,,,,,,,,
5¿ù 1ÀÏ,10:15,10:45,11:15,11:45,12:15,12:45,13:15,13:45,14:15,14:45,15:15,15:45,16:15,16:45,,
9,9 39,12 39,6,19,16,32,1 42,15,19 33,6,19 36,9,30,,,
7000,4 17,6 22,6 28,17 29,2 25,2 19,7 17,3 14,3 18,3 8,4 25,2 16,7 24,,,
1112,11 27,14 27,1 16,5 20,1 22,5 18,5 17,11 28,1 11,14 32,3 16,1 12,°ð 10,,,
5100,4 14,10 14,°ð 11,2 9,4 14,11 24,13 17,1 8,8 22,3 13,°ð 2,14 18,10 25,,,
5107,8 17,20 26,5 13,°ð 10,3 15,8 13,°ð 11,°ð °ð,°ð 16,24 56,24 26,°ð 15,1 4,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5¿ù 3ÀÏ,10:16,10:49,11:18,11:45,12:15,12:46,13:15,13:45,14:15,14:45,15:15,15:45,16:15,,,
9,11,14 35,6,18,23,26,1 23,,13 24,40,14 41,12,21,,,
7000,8 30,°ð 16,°ð 19,13 44,17 22,°ð 6,3 20,3 18,5 14,2 15,5 24,3 30,1 16,,,
1112,13 24,4 15,16 28,2 16,6 21,4 16,13 20,11 33,3 23,1 12,9 18,°ð 20,4 19,,,
5100,3 11,8 9,6 14,2 18,10 16,7 22,8 21,5 13,14 22,3 21,°ð 8,3 14,9 15,,,
5107,9 15,8 18,2 7,3 10,10 10,4 5,°ð 3,3 11,2 8,2 27,°ð 12,°ð 12,16 18,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
